x,y,gesture
1.6746953,7.512942,103_203_21_1_20250113_152824_tiger_board_clueGiver_cam02.mp4_segment_3_Gesture_11.03_11.97
8.718645,5.0944924,103_203_21_1_20250113_152824_tiger_board_clueGiver_cam02.mp4_segment_4_Gesture_16.53_18.37
8.938104,7.081476,103_203_21_1_20250113_152824_tiger_board_clueGiver_cam02.mp4_segment_5_Gesture_24.33_27.43
9.72179,4.8605456,103_203_21_1_20250113_152824_tiger_board_clueGiver_cam02.mp4_segment_6_Gesture_27.97_30.27
8.934349,5.6393843,103_203_21_1_20250113_152824_tiger_board_clueGiver_cam02.mp4_segment_7_Gesture_31.17_47.53
6.88525,3.9633381,103_203_21_1_20250113_152824_tiger_board_clueGiver_cam02.mp4_segment_8_Gesture_0.80_2.97
7.7477837,3.0777805,103_203_21_1_20250113_152824_tiger_board_clueGiver_cam02.mp4_segment_9_Gesture_9.20_11.43
9.782336,9.810142,103_203_21_1_20250113_152824_tiger_board_guesser_cam02.mp4_segment_1_Gesture_33.83_36.07
9.801869,9.809356,103_203_21_1_20250113_152824_tiger_board_guesser_cam02.mp4_segment_2_Gesture_34.70_35.50
9.46072,8.080534,103_203_23_1_20250113_152946_trumpet_ground_clueGiver_cam02.mp4_segment_10_Gesture_13.20_18.50
9.984291,8.353124,103_203_23_1_20250113_152946_trumpet_ground_clueGiver_cam02.mp4_segment_11_Gesture_22.17_26.87
5.728283,8.151167,103_203_23_1_20250113_152946_trumpet_ground_clueGiver_cam02.mp4_segment_12_Gesture_27.50_28.57
9.788593,7.9301395,103_203_23_1_20250113_152946_trumpet_ground_clueGiver_cam02.mp4_segment_13_Gesture_29.27_33.00
6.8230085,2.510484,103_203_23_1_20250113_152946_trumpet_ground_clueGiver_cam02.mp4_segment_1_Gesture_6.77_7.47
6.437049,1.9321518,103_203_23_1_20250113_152946_trumpet_ground_clueGiver_cam02.mp4_segment_2_Gesture_8.07_10.03
10.09616,9.011255,103_203_23_1_20250113_152946_trumpet_ground_clueGiver_cam02.mp4_segment_3_Gesture_14.20_15.47
9.568888,8.402896,103_203_23_1_20250113_152946_trumpet_ground_clueGiver_cam02.mp4_segment_4_Gesture_16.10_18.87
10.033826,8.658964,103_203_23_1_20250113_152946_trumpet_ground_clueGiver_cam02.mp4_segment_5_Gesture_22.23_24.10
10.097558,8.224464,103_203_23_1_20250113_152946_trumpet_ground_clueGiver_cam02.mp4_segment_6_Gesture_24.77_26.70
9.573085,7.753616,103_203_23_1_20250113_152946_trumpet_ground_clueGiver_cam02.mp4_segment_7_Gesture_27.93_33.23
6.6368256,2.7481475,103_203_23_1_20250113_152946_trumpet_ground_clueGiver_cam02.mp4_segment_8_Gesture_4.30_4.83
6.448996,1.9230456,103_203_23_1_20250113_152946_trumpet_ground_clueGiver_cam02.mp4_segment_9_Gesture_5.93_12.47
1.1344963,9.272069,103_203_23_1_20250113_152946_trumpet_ground_guesser_cam02.mp4_segment_1_Move_11.57_14.57
1.1827286,9.229971,103_203_23_1_20250113_152946_trumpet_ground_guesser_cam02.mp4_segment_2_Move_15.60_18.43
1.0870141,9.159599,103_203_23_1_20250113_152946_trumpet_ground_guesser_cam02.mp4_segment_3_Move_24.10_26.73
1.1530129,8.968613,103_203_23_1_20250113_152946_trumpet_ground_guesser_cam02.mp4_segment_4_Gesture_28.63_30.53
0.59932196,8.37113,103_203_23_1_20250113_152946_trumpet_ground_guesser_cam02.mp4_segment_5_Gesture_11.47_11.70
6.4095297,2.1324804,103_203_24_1_20250113_152957_pasta_ground_clueGiver_cam02.mp4_segment_1_Gesture_2.37_2.93
6.472969,2.0446424,103_203_24_1_20250113_152957_pasta_ground_clueGiver_cam02.mp4_segment_2_Gesture_2.07_3.57
2.2193904,8.115771,103_203_24_1_20250113_152957_pasta_ground_guesser_cam02.mp4_segment_1_Gesture_4.73_4.87
1.8763709,4.5795355,103_203_24_1_20250113_152957_pasta_ground_guesser_cam02.mp4_segment_2_Gesture_7.60_10.53
2.3458226,8.153485,103_203_24_1_20250113_152957_pasta_ground_guesser_cam02.mp4_segment_3_Gesture_4.57_4.83
2.0383446,4.6122017,103_203_24_1_20250113_152957_pasta_ground_guesser_cam02.mp4_segment_4_Gesture_6.37_10.53
7.078799,8.8238735,103_203_25_1_20250113_153028_hamster_ground_clueGiver_cam02.mp4_segment_10_Gesture_20.93_22.47
8.204693,8.694633,103_203_25_1_20250113_153028_hamster_ground_clueGiver_cam02.mp4_segment_11_Gesture_24.80_29.37
7.036989,8.951983,103_203_25_1_20250113_153028_hamster_ground_clueGiver_cam02.mp4_segment_1_Gesture_5.23_6.03
6.729174,9.276392,103_203_25_1_20250113_153028_hamster_ground_clueGiver_cam02.mp4_segment_2_Gesture_9.93_10.33
7.1218553,8.916564,103_203_25_1_20250113_153028_hamster_ground_clueGiver_cam02.mp4_segment_3_Gesture_11.83_29.27
7.4604473,8.268675,103_203_25_1_20250113_153028_hamster_ground_clueGiver_cam02.mp4_segment_4_Gesture_4.77_5.57
6.617537,9.132866,103_203_25_1_20250113_153028_hamster_ground_clueGiver_cam02.mp4_segment_5_Gesture_8.33_8.57
7.0131063,8.878929,103_203_25_1_20250113_153028_hamster_ground_clueGiver_cam02.mp4_segment_6_Gesture_9.63_9.97
6.9745574,8.903495,103_203_25_1_20250113_153028_hamster_ground_clueGiver_cam02.mp4_segment_7_Gesture_12.53_16.40
7.1260004,8.799598,103_203_25_1_20250113_153028_hamster_ground_clueGiver_cam02.mp4_segment_8_Gesture_17.77_19.00
