onset,offset,pair,trial
1.3450104766152549,1.3770822614525782,103_203,12
1.4011361000805707,1.6236341073895026,103_203,12
1.669737298093155,1.735885354320135,103_203,12
1.8481366012507672,2.03455385061771,103_203,12
2.3592806720956108,2.5076126769682316,103_203,12
2.5757652197475442,2.8163036060274704,103_203,12
3.03679712678407,3.3735508675759664,103_203,12
3.940820561886126,4.219444192660374,103_203,12
5.758889864851902,5.8130110017648855,103_203,12
7.097886881810159,7.206129155636126,103_203,12
7.330407321880754,7.514820084695365,103_203,12
7.639098250939993,7.973847505179557,103_203,12
8.13019745626151,8.266502541820135,103_203,12
8.47697362981507,8.817736343711632,103_203,12
9.5754322604934,9.92220843404696,103_203,12
11.473681025552484,11.696179032861416,103_203,12
11.938721905693676,12.213336563363258,103_203,12
12.345632675817217,12.554099277259821,103_203,12
12.578153115887812,12.722476147655769,103_203,12
12.776597284568753,13.041189509476672,103_203,12
13.06925232120933,13.618481636548497,103_203,12
13.672602773461477,13.816925805229435,103_203,12
14.963492113163749,15.013604276972067,103_203,12
15.16394076839702,15.358375963973295,103_203,12
15.735219435811848,15.821412357562153,103_203,12
16.36663269979665,16.420753836709636,103_203,12
3.2009207904025954,3.95455023134898,103_203,13
4.788353017076895,5.111050729822553,103_203,13
5.646207806239269,5.732394151879413,103_203,13
5.886727840583859,6.0871612025376844,103_203,13
6.902924985689754,7.295774375119253,103_203,13
7.4601297319213895,7.650541425777524,103_203,13
8.033369147109331,8.500378880461746,103_203,13
8.672751571742035,8.875189267315399,103_203,13
9.262025655886282,9.65287071169624,103_203,13
9.753087392673157,9.87535174346499,103_203,13
9.88737774518222,9.985590092539592,103_203,13
10.089815440755585,10.190032121732495,103_203,13
10.987756902308721,11.316467615912995,103_203,13
11.522913978725436,11.665221665712652,103_203,13
12.43889444285442,12.785644159034536,103_203,13
12.9880818546079,13.256662559626028,103_203,13
13.316792568212177,13.67757261972906,103_203,13
13.779793634325511,13.950161991986263,103_203,13
14.32497237883992,14.605579085575272,103_203,13
14.615600753672965,14.647670091585576,103_203,13
14.842090452680788,15.014463143961077,103_203,13
15.327139188609046,15.41532986786873,103_203,13
3.157576597033,3.1716013661822586,103_203,14
3.1836225968816225,3.2657676733272782,103_203,14
3.3899870572207083,3.7285850552528,103_203,14
3.880853977444747,4.083211360884045,103_203,14
4.790460433696639,5.010849663184983,103_203,14
5.866360581289737,6.74190688389343,103_203,14
6.834069652588556,6.924228882833788,103_203,14
7.040434112927642,7.196710112019376,103_203,14
8.8015444103845,9.332482099606416,103_203,14
9.480743944898576,10.210031940660008,103_203,14
10.274145171056615,10.306201786254919,103_203,14
10.366307939751739,10.388346862700576,103_203,14
11.658590239933394,12.321761466848319,103_203,14
13.207325461701485,14.108917764153801,103_203,14
14.211098225098395,14.409448531637903,103_203,14
14.499607761883137,15.050580835603997,103_203,14
15.779868831365425,16.292774674538297,103_203,14
16.727542518165304,17.184349284741145,103_203,14
17.268497899636692,17.959718664850136,103_203,14
18.35842281637905,18.386472354677565,103_203,14
18.4766315849228,18.76714466015743,103_203,14
18.813226044504994,19.17386296548592,103_203,14
19.264022195731155,19.50043973281865,103_203,14
19.516468040417802,19.730846654556462,103_203,14
19.86909080759915,20.167618036633364,103_203,14
20.530258496064185,20.620417726309416,103_203,14
1.5428643030688454,1.8334036848155761,103_203,15
1.8855004015425758,1.953626877262499,103_203,15
2.1760397832893066,2.2020881416528066,103_203,15
2.204091861526922,2.2601960180021528,103_203,15
2.3263187738479605,2.5106610022665756,103_203,15
2.5306982010077292,3.0015723714248446,103_203,15
3.516528379072498,3.881205396161498,103_203,15
4.031484386720152,4.299982849851613,103_203,15
4.67467846631119,4.957202968561459,103_203,15
4.981247607050843,5.067407561637805,103_203,15
5.151563796350651,5.690564442487689,103_203,15
5.916984788262727,6.1093418961778045,103_203,15
7.145265071095458,7.26548826354238,103_203,15
7.65220619924665,7.726343834588919,103_203,15
7.86059306615465,7.998849737468611,103_203,15
8.51180202524215,9.205089101686072,103_203,15
9.95247661473111,10.575633495580995,103_203,15
11.517381836415225,12.204657753236805,103_203,15
14.07212467591234,14.2103813472263,103_203,15
15.20422640478753,15.719182412435185,103_203,15
15.869461402993837,16.444529006864954,103_203,15
16.556737319815415,16.81120974382807,103_203,15
17.223976037895838,17.45841126316734,103_203,15
17.60468281397776,17.937300313080915,103_203,15
18.384129845008644,18.47429723934384,103_203,15
18.492330718210876,18.530401395819062,103_203,15
18.582498112546066,18.65062458826599,103_203,15
18.86301889492222,18.955190009131528,103_203,15
4.354841695838195,4.948319201348372,103_203,16
7.504683456502009,7.556813237391417,103_203,16
7.598918060417477,7.799417217684428,103_203,16
7.887636846881887,8.202420523791002,103_203,16
8.509184234409437,9.060556916893555,103_203,16
9.16682147024504,9.688119279139118,103_203,16
9.814433748217295,10.16330228186179,103_203,16
10.199392130169844,10.558285621677687,103_203,16
10.684600090755866,10.849009399714769,103_203,16
11.099633346298457,11.272062621548034,103_203,16
11.32820238558278,11.358277259172825,103_203,16
11.360282250745492,11.651006028782573,103_203,16
12.521172371321143,12.66954174769869,103_203,16
12.771796317904837,12.801871191494877,103_203,16
13.03445021392454,13.110639893685983,103_203,16
2.154875727221279,2.41322049377476,103_203,17
2.443260582908885,2.5373861955291455,103_203,17
2.617493099886814,2.8417924320882855,103_203,17
3.230310918222977,3.4626209408602158,103_203,17
4.582114929258631,4.618163036219581,103_203,17
4.658216488398415,4.868497112337295,103_203,17
4.966628070175439,5.279044997170345,103_203,17
5.639526066779853,6.060087314657612,103_203,17
6.2122904329371815,6.232317159026599,103_203,17
6.234319831635541,6.368498896434635,103_203,17
6.410555021222411,6.442597782965479,103_203,17
6.44460045557442,6.508685979060555,103_203,17
6.556750121675156,6.8811830843237125,103_203,17
7.818433865308433,8.03872785229202,103_203,17
8.323107362761743,8.593468164968874,103_203,17
8.699609813242784,8.721639211941143,103_203,17
8.731652574985851,8.803748788907754,103_203,17
8.91589845500849,9.3965398811545,103_203,17
10.469972399547256,10.600146119128464,103_203,17
11.303084204867007,11.637530530560271,103_203,17
11.88185658885116,12.142204028013584,103_203,17
12.600816055461232,12.813099352009056,103_203,17
12.82912073288059,12.895208928975665,103_203,17
13.171577749009622,13.20562318336163,103_203,17
13.47398131295982,13.500016056876062,103_203,17
14.323114499151105,14.613502027447652,103_203,17
17.409232989530278,17.883866397849463,103_203,17
18.520716287492927,18.773053036219583,103_203,17
18.8651759762309,19.36784680107527,103_203,17
19.481999139784946,19.870517625919643,103_203,17
19.992680655065083,20.100824975947933,103_203,17
20.14288110073571,20.337140343803057,103_203,17
20.4593033729485,20.627527872099606,103_203,17
20.85583254951896,20.955966179966044,103_203,17
21.12619335172609,21.86517954442558,103_203,17
23.533405827674024,23.813779992925863,103_203,17
24.03807932512733,24.144220973401247,103_203,17
24.632873089983022,24.731004047821166,103_203,17
24.7950895713073,25.00336752263724,103_203,17
25.0253969213356,25.045423647425014,103_203,17
26.100832112337297,26.317120754103,103_203,17
26.6195243180532,26.90190115591398,103_203,17
27.074131000282968,27.214318082908886,103_203,17
27.28841696943973,27.318457058573852,103_203,17
27.62686864035088,27.716988907753255,103_203,17
2.947366308039976,3.354660631070687,103_203,18
3.356667007046208,3.376730766801415,103_203,18
5.617852731458088,5.722184282185166,103_203,18
5.8385540887653695,6.035178934366403,103_203,18
6.1033957175341085,6.255880291673685,103_203,18
6.422409497641907,6.741423277749705,103_203,18
8.09973981317725,8.228147875610578,103_203,18
8.992577122283983,9.161112704227724,103_203,18
9.618566426646455,9.84929966383134,103_203,18
10.222485595278199,10.318791642103196,103_203,18
2.5729327743832666,2.811575798663554,103_203,19
3.2668024080049425,3.589672382031214,103_203,19
3.639807471165728,3.944628813103574,103_203,19
3.966688252322761,4.093028676941736,103_203,19
4.205331276603047,4.393839211748821,103_203,19
4.437958090187194,4.7989307319556955,103_203,19
4.837033399697926,5.109768284589683,103_203,19
5.364454537393015,5.745481214815323,103_203,19
6.463415691221566,6.686015486978809,103_203,19
6.76222082246327,6.958750371870566,103_203,19
7.121188060666391,7.331755435031351,103_203,19
7.389912138427387,8.0697439470914,103_203,19
9.369245457458007,9.489569671380838,103_203,19
9.517645321296168,9.650001956611286,103_203,19
9.780353188361024,10.105228565952672,103_203,19
10.143331233694905,10.377963450844431,103_203,19
10.542406543205637,10.620617282255479,103_203,19
10.765006338962879,11.430800322669228,103_203,19
11.478930008238361,11.535081308069017,103_203,19
12.102610517071717,12.160767220467756,103_203,19
12.293123855782873,12.331226523525103,103_203,19
12.7443396579935,12.768404500778066,103_203,19
12.770409904343447,12.868674679047095,103_203,19
3.137448705313144,3.417935818176388,103_203,20
3.5541724158528205,4.055042260251471,103_203,20
5.092844577845473,5.800072798136367,103_203,20
5.870194576352178,5.91026416390407,103_203,20
5.912267643281664,6.835871636352775,103_203,20
6.936045605232505,7.5370894185108845,103_203,20
7.797541737598183,8.055990577307886,103_203,20
8.751197921333212,8.921493668428754,103_203,20
8.939524982827106,8.953549338470268,103_203,20
8.995622405399754,9.524540961084728,103_203,20
9.67279843502673,9.937257712869215,103_203,20
10.21373786697727,10.602412866230624,103_203,20
13.012598557476927,13.511464922497982,103_203,20
13.561551906937847,13.807979870381983,103_203,20
14.306846235403038,14.35092278171012,103_203,20
14.457107188722633,14.84778566735358,103_203,20
15.885587984947582,16.178095974076395,103_203,20
16.382450870591043,16.821212854284262,103_203,20
16.875306797479315,16.89934855001045,103_203,20
17.105706925902695,17.213894812292803,103_203,20
17.257971358599885,17.324086178060504,103_203,20
17.398214915031506,17.414242750052264,103_203,20
17.492378445778453,17.68270898664994,103_203,20
17.710757697936263,17.768858599886507,103_203,20
17.9571856613804,18.207620583579725,103_203,20
18.35788153689932,18.76258437117343,103_203,20
18.938890556401752,19.053088880924644,103_203,20
19.2554402980617,19.28549248872562,103_203,20
19.788365812501862,19.90056065764716,103_203,20
20.01676246154765,20.177040811755212,103_203,20
20.6658897798883,20.80613333631992,103_203,20
21.972158334079978,22.142454081175522,103_203,20
22.206565421258546,22.36083333333333,103_203,20
0.0,0.5544391854228019,103_203,21
5.536385512200253,7.031569885885571,103_203,21
7.690091517669331,7.786167622002525,103_203,21
7.978319830668911,8.26654814366849,103_203,21
8.460701937841819,8.800971474021878,103_203,21
9.313377363798908,9.339397975389147,103_203,21
9.433472494215401,9.509532743479177,103_203,21
9.599604091291548,10.02794338977703,103_203,21
10.051962415860329,10.436266833193102,103_203,21
10.638426969394196,10.832580763567524,103_203,21
10.986702847602022,11.338981896823729,103_203,21
12.676041015460669,12.7981377313841,103_203,21
13.884998661653347,14.17522856015987,103_203,21
14.22927136884729,14.471463215187212,103_203,21
14.76769787021456,15.494273409234331,103_203,21
15.988665029448887,16.15279504101809,103_203,21
