gesture_id,video_id,active_hand,space_use,mcneillian_max,mcneillian_mode,volume,max_height,duration,hold_count,hold_time,hold_avg_duration,hand_submovements,hand_submovement_peak_max,hand_submovement_peak_mean,hand_mean_submovement_amplitude,elbow_submovements,elbow_mean_submovement_amplitude,hand_peak_speed,hand_mean_speed,hand_peak_acceleration,hand_peak_deceleration,hand_peak_jerk,elbow_peak_speed,elbow_mean_speed,elbow_peak_acceleration,elbow_peak_deceleration,elbow_peak_jerk,pair,trial,onset,offset
103_203_12_1_20250113_152455_doughnut_board_clueGiver_cam02.mp4_segment_1_Gesture_0.80_6.77,103,L,3,4,4,0.0136297066059915,2.506190554164193,5.96,10,4.28,10.7,11,0.5602005503493737,0.1634868567325737,0.1634868567325737,8,0.0956039648554726,0.5679061014967248,0.103018938977731,2.715324476706728,0.0227234433780442,35.71929161339688,0.2338347424848328,0.0501189218560778,1.2772241237823647,0.0101237431726462,16.606960723916888,103_203,12,0.8,6.77
103_203_12_1_20250113_152455_doughnut_board_clueGiver_cam02.mp4_segment_2_Gesture_7.80_10.33,103,R,1,4,4,6.067293407590926e-05,2.890777191608791,2.52,2,2.04,25.5,5,0.1428946423066598,0.0804221237733466,0.0804221237733466,4,0.0785785777445672,0.1495998917692802,0.0535512564887528,1.0771394809502428,0.007437671466923,15.200104337224422,0.1072224429445992,0.0419234523502745,1.1005388299473746,0.0300371380314104,14.532096932433172,103_203,12,7.8,10.33
103_203_12_1_20250113_152455_doughnut_board_clueGiver_cam02.mp4_segment_3_Gesture_14.07_17.40,103,L,1,4,4,0.0061022252862642,2.374152937388322,3.32,5,1.32,6.6,8,0.517731981424746,0.2401841857277368,0.2401841857277368,7,0.1386839198614175,0.529351042120039,0.1671344601470152,2.4284315291258745,0.052912772977523,29.43826725071494,0.2256428286739642,0.0896229992460066,1.37358275821608,0.0238200959885097,21.46435454491034,103_203,12,14.07,17.4
103_203_12_1_20250113_152455_doughnut_board_clueGiver_cam02.mp4_segment_4_Gesture_0.80_6.63,103,L,2,4,4,0.0080434834495368,2.396253431904762,5.8,8,4.16,13.0,10,0.5428336822800421,0.1655046133579765,0.1655046133579765,8,0.0955512351888762,0.5455442464847847,0.0939865032704019,2.1776232501274944,0.0227234433780442,34.037087565452794,0.2381366508193263,0.0497116683803354,1.229725363666603,0.0101237431726462,14.818234736072792,103_203,12,0.8,6.63
103_203_12_1_20250113_152455_doughnut_board_clueGiver_cam02.mp4_segment_5_Gesture_7.80_10.33,103,R,1,4,4,6.067293407590926e-05,2.890777191608791,2.52,2,2.04,25.5,5,0.1428946423066598,0.0804221237733466,0.0804221237733466,4,0.0785785777445672,0.1495998917692802,0.0535512564887528,1.0771394809502428,0.007437671466923,15.200104337224422,0.1072224429445992,0.0419234523502745,1.1005388299473746,0.0300371380314104,14.532096932433172,103_203,12,7.8,10.33
103_203_12_1_20250113_152455_doughnut_board_clueGiver_cam02.mp4_segment_6_Gesture_14.00_17.40,103,L,1,4,4,0.0066718757671865,2.38060592128388,3.36,5,1.32,6.6,7,0.5041681830269746,0.2385166795548833,0.2385166795548833,6,0.1433241446168356,0.5178894681757815,0.1716789922778673,2.9053052862538027,0.0131018921321154,24.198539857335263,0.211272738308499,0.0857541127530845,1.355010907394102,0.0364453587376243,14.745489122396952,103_203,12,14.0,17.4
103_203_13_1_20250113_152513_spinach_board_clueGiver_cam02.mp4_segment_1_Gesture_8.40_9.90,103,L,1,4,4,0.0007673992459138,0.0,1.48,2,0.76,9.5,3,0.3788668175193457,0.1872760440959399,0.1872760440959399,2,0.085794295788421,0.4018670383015059,0.1250955247636775,2.791164829648982,0.0854015769258453,35.34745959460472,0.0997850592253157,0.045735017827973,0.6260680430335372,0.0269871289249136,11.558296228516996,103_203,13,8.4,9.9
103_203_13_1_20250113_152513_spinach_board_clueGiver_cam02.mp4_segment_2_Gesture_11.00_17.50,103,L,2,4,4,0.0083128918445817,2.439845310099319,6.48,9,1.8,5.0,12,1.164062852725705,0.4419462209048391,0.4419462209048391,12,0.1610416539756453,1.271043065280936,0.2420785464687052,8.827552391514141,0.0827308238339424,128.0555246849062,0.3307852714669664,0.0958874770091742,3.096792011432828,0.0507861346452791,44.71226306825161,103_203,13,11.0,17.5
103_203_13_1_20250113_152513_spinach_board_clueGiver_cam02.mp4_segment_3_Gesture_7.87_17.50,103,L,2,4,4,0.0084414786137541,2.4384600347256757,9.6,15,3.48,5.8,18,1.1161554363373012,0.3386352062736408,0.3386352062736408,16,0.1341933924453642,1.202125044206365,0.1965281720691214,8.130635896903435,0.0884075588898865,114.06470533112356,0.3244300878101132,0.078234266050952,2.70109095589682,0.0321935212389833,38.501901732095,103_203,13,7.87,17.5
103_203_14_1_20250113_152536_balloon_board_clueGiver_cam02.mp4_segment_1_Gesture_0.80_2.00,103,L,1,4,4,5.119580964780616e-05,0.0,1.2,2,0.68,8.5,1,0.1834298006068262,0.1834298006068262,0.1834298006068262,2,0.1243470511052784,0.1990954544114717,0.0752734253050827,1.537421835444691,0.0908937777019022,20.702847393978143,0.1676644728576486,0.0677818483656444,0.949841345079948,0.0419981997170092,12.403917543610223,103_203,14,0.8,2.0
103_203_14_1_20250113_152536_balloon_board_clueGiver_cam02.mp4_segment_2_Gesture_2.53_6.77,103,L,4,4,4,0.0260901410857534,2.6551098704177414,4.2,3,0.44,3.6666666666666665,9,1.0122861485143746,0.4554297727610017,0.4554297727610017,10,0.1370384361383242,1.0716498258026703,0.3118940624278012,7.652730696098045,0.0723691004581347,84.36618978257458,0.2419792886114805,0.0909794261867633,2.3593945326393837,0.0713831018282069,28.68953329181852,103_203,14,2.53,6.77
103_203_14_1_20250113_152536_balloon_board_clueGiver_cam02.mp4_segment_3_Gesture_7.63_22.03,103,L,3,4,4,0.0386409800651871,2.7222912574983567,14.36,17,3.16,4.647058823529412,24,1.1785415868022124,0.4057948072324622,0.4057948072324622,25,0.178564271160902,1.2029141432001205,0.2543407921323403,9.446165080844764,0.0693056193187058,129.7753447109508,0.6694570862460545,0.1124181165898456,3.6465913526950606,0.0139298334004037,47.904749628404886,103_203,14,7.63,22.03
103_203_14_1_20250113_152536_balloon_board_clueGiver_cam02.mp4_segment_4_Gesture_0.80_6.20,103,L,3,4,4,0.0152002670538771,2.533590246811736,5.4,6,1.4,5.833333333333333,10,1.0083874876367196,0.411375652003496,0.411375652003496,9,0.13055437367095,1.056583711973777,0.2471325656571067,8.084826283596616,0.0568995152615513,84.1933720174354,0.2253274927042792,0.0820486801599592,2.7818114624519734,0.0574119687159975,33.36183553331744,103_203,14,0.8,6.2
103_203_14_1_20250113_152536_balloon_board_clueGiver_cam02.mp4_segment_5_Gesture_7.73_7.97,103,L,1,2,2,1.5514861132117834e-05,2.477636881604559,0.2,0,0.0,0.0,1,0.1697389914396358,0.1697389914396358,0.1697389914396358,1,0.108696073734618,0.1697389914396357,0.1309475101620791,0.9402835504189632,0.2167217069206523,20.20995782189256,0.108696073734618,0.0839794636415984,0.6375684924468418,0.2156263939194811,12.93413642000143,103_203,14,7.73,7.97
103_203_14_1_20250113_152536_balloon_board_clueGiver_cam02.mp4_segment_6_Gesture_8.63_22.03,103,L,4,4,4,0.038515105385886,2.726387964306386,13.36,14,3.2,5.714285714285714,22,1.2003164145459588,0.4257445347664077,0.4257445347664078,22,0.1900811638165909,1.266298283320432,0.2626295770763887,9.160221842553394,0.0680410335243435,127.48880256950946,0.6637772712764068,0.1184982197950888,3.5492699176199625,0.0171778525585535,47.22804397396148,103_203,14,8.63,22.03
