pair,trial,condition,n,n_trimmed,aligned_file,surrogate_file
108_208,17,ground,4749,3749,aligned_108_208_17.csv,iaaft_108_208_17_n50.csv
108_208,18,ground,3542,2542,aligned_108_208_18.csv,iaaft_108_208_18_n50.csv
108_208,19,ground,20491,19491,aligned_108_208_19.csv,iaaft_108_208_19_n50.csv
108_208,20,ground,10801,9801,aligned_108_208_20.csv,iaaft_108_208_20_n50.csv
108_208,21,ground,3210,2210,aligned_108_208_21.csv,iaaft_108_208_21_n50.csv
108_208,23,ground,10875,9875,aligned_108_208_23.csv,iaaft_108_208_23_n50.csv
108_208,24,ground,6346,5346,aligned_108_208_24.csv,iaaft_108_208_24_n50.csv
108_208,25,ground,5935,4935,aligned_108_208_25.csv,iaaft_108_208_25_n50.csv
108_208,26,ground,9707,8707,aligned_108_208_26.csv,iaaft_108_208_26_n50.csv
108_208,27,ground,15230,14230,aligned_108_208_27.csv,iaaft_108_208_27_n50.csv
108_208,28,ground,9091,8091,aligned_108_208_28.csv,iaaft_108_208_28_n50.csv
108_208,29,ground,7410,6410,aligned_108_208_29.csv,iaaft_108_208_29_n50.csv
108_208,30,ground,5631,4631,aligned_108_208_30.csv,iaaft_108_208_30_n50.csv
108_208,31,ground,4200,3200,aligned_108_208_31.csv,iaaft_108_208_31_n50.csv
108_208,32,ground,11611,10611,aligned_108_208_32.csv,iaaft_108_208_32_n50.csv
108_208,34,board,5512,4512,aligned_108_208_34.csv,iaaft_108_208_34_n50.csv
108_208,35,board,3518,2518,aligned_108_208_35.csv,iaaft_108_208_35_n50.csv
108_208,36,board,25832,24832,aligned_108_208_36.csv,iaaft_108_208_36_n50.csv
108_208,37,board,4517,3517,aligned_108_208_37.csv,iaaft_108_208_37_n50.csv
108_208,38,board,5403,4403,aligned_108_208_38.csv,iaaft_108_208_38_n50.csv
108_208,39,board,4038,3038,aligned_108_208_39.csv,iaaft_108_208_39_n50.csv
108_208,40,board,3631,2631,aligned_108_208_40.csv,iaaft_108_208_40_n50.csv
108_208,41,board,6554,5554,aligned_108_208_41.csv,iaaft_108_208_41_n50.csv
108_208,42,board,3458,2458,aligned_108_208_42.csv,iaaft_108_208_42_n50.csv
108_208,43,board,7710,6710,aligned_108_208_43.csv,iaaft_108_208_43_n50.csv
108_208,45,board,10244,9244,aligned_108_208_45.csv,iaaft_108_208_45_n50.csv
108_208,46,board,8300,7300,aligned_108_208_46.csv,iaaft_108_208_46_n50.csv
108_208,47,board,5791,4791,aligned_108_208_47.csv,iaaft_108_208_47_n50.csv
108_208,48,board,28201,27201,aligned_108_208_48.csv,iaaft_108_208_48_n50.csv
108_208,49,board,3046,2046,aligned_108_208_49.csv,iaaft_108_208_49_n50.csv
108_208,50,board,6422,5422,aligned_108_208_50.csv,iaaft_108_208_50_n50.csv
108_208,51,board,34729,33729,aligned_108_208_51.csv,iaaft_108_208_51_n50.csv
108_208,52,board,4366,3366,aligned_108_208_52.csv,iaaft_108_208_52_n50.csv
108_208,53,board,4422,3422,aligned_108_208_53.csv,iaaft_108_208_53_n50.csv
108_208,54,board,4698,3698,aligned_108_208_54.csv,iaaft_108_208_54_n50.csv
