pair,trial,condition,n,frac_voiced,frac_gesture,mf_imf1,rho_imf1,p_imf1,surr_imf1,rho_voiced_imf1,p_voiced_imf1,surr_voiced_imf1,rho_unvoiced_imf1,p_unvoiced_imf1,surr_unvoiced_imf1,rho_gest_imf1,p_gest_imf1,surr_gest_imf1,rho_still_imf1,p_still_imf1,surr_still_imf1,rho_gestvoiced_imf1,p_gestvoiced_imf1,surr_gestvoiced_imf1,rho_stillvoiced_imf1,p_stillvoiced_imf1,surr_stillvoiced_imf1,mf_imf2,rho_imf2,p_imf2,surr_imf2,rho_voiced_imf2,p_voiced_imf2,surr_voiced_imf2,rho_unvoiced_imf2,p_unvoiced_imf2,surr_unvoiced_imf2,rho_gest_imf2,p_gest_imf2,surr_gest_imf2,rho_still_imf2,p_still_imf2,surr_still_imf2,rho_gestvoiced_imf2,p_gestvoiced_imf2,surr_gestvoiced_imf2,rho_stillvoiced_imf2,p_stillvoiced_imf2,surr_stillvoiced_imf2
103_203,12,board,7666,0.3364205583094182,0.6937124967388468,5.632290463347684,-0.15018568737110383,0.5294117647058824,-0.0024077949222879296,-0.11628966396057462,0.6666666666666666,-0.012316137290628087,-0.11447055058684028,0.5882352941176471,0.006994748596607967,-0.09980693221368367,0.6274509803921569,0.003711183953517688,-0.32606175979769086,0.3333333333333333,-0.023002107515457587,-0.26857440860631737,0.13725490196078433,-0.029290875525299666,-0.48371156691309625,0.17647058823529413,-0.017604307795086264,2.6917427375891485,-0.013045146641087265,0.9607843137254902,-0.00327003361582239,0.04200280814675264,0.8431372549019608,-0.008088500349175893,0.005499188326401719,0.9803921568627451,0.004022929275775545,-0.025324721424656096,0.803921568627451,-0.00956195223982629,-0.20696037455454855,0.5098039215686274,-0.002465908415803896,-0.1413990636535692,0.5882352941176471,-0.05392198124118042,-0.5133448498477877,0.17647058823529413,0.013928590818355435
103_203,13,board,7731,0.3567455697839865,0.5556849049282111,6.474885172285583,0.24142085179916847,0.09803921568627451,0.01648985222471232,-0.21206601938625103,0.43137254901960786,-0.05030446941193226,0.2654640586769685,0.13725490196078433,0.033971458932580634,0.34112599079000977,0.11764705882352941,0.001871605198579146,0.10786658734514011,0.7058823529411765,0.03966819501344864,0.2734984245241061,0.49019607843137253,-0.04687499649691078,-0.6999018508698509,0.09803921568627451,-0.04316320456298012,2.6543497034550194,0.3114300537171525,0.058823529411764705,0.015680751687623774,0.025131377863040538,0.8823529411764706,-0.023405199711315293,0.3005208650699972,0.0784313725490196,0.027542582567025832,0.4812368733364105,0.0392156862745098,0.0035501814175588455,0.06801231842981062,0.7843137254901961,0.03366891793436521,0.4405578911317702,0.11764705882352941,-0.01901926835515073,-0.6693048059386502,0.35294117647058826,-0.01647989204493637
103_203,14,board,9992,0.4396517213771017,0.9570656525220176,6.4733275376141615,-0.2802171301186852,0.13725490196078433,-0.01854012124007729,-0.09627291642629586,0.5882352941176471,0.009933551037639805,-0.11546325380418551,0.5686274509803921,-0.020376472698424443,-0.26686483524365245,0.1568627450980392,-0.01916874142791637,-0.861383888877912,0.11764705882352941,0.011182931668421698,-0.09096203565799875,0.5882352941176471,0.012048440602361486,-0.6491532419290349,0.37254901960784315,-0.019741629114413763,2.854640843681227,-0.33713590028189044,0.0392156862745098,-0.019582892762224923,-0.23966050432469818,0.19607843137254902,0.016087370689417325,-0.1782076588873278,0.37254901960784315,-0.030479238409843793,-0.32904424835134616,0.0392156862745098,-0.019769836975217704,-0.5965559326567803,0.47058823529411764,0.035935734614816785,-0.23654079514735896,0.19607843137254902,0.018143789870392425,-0.6112522732842347,0.5686274509803921,-0.004007235090426445
103_203,15,board,9201,0.40756439517443754,1.0,6.224959555948369,-0.06649521937815948,0.6862745098039216,0.018186878130596454,0.05728822599738496,0.7647058823529411,0.03459871829220886,-0.027811867390680645,0.8627450980392157,0.002600470005344637,-0.06649521937815948,0.6862745098039216,0.018186878130596454,,,,0.05728822599738496,0.7647058823529411,0.03459871829220886,,,,2.515799821230025,0.0014685368626058707,1.0,0.020098316261513583,0.163839229656123,0.43137254901960786,0.03269542787404198,-0.052009604296965335,0.803921568627451,0.008702924506840466,0.0014685368626058707,1.0,0.020098316261513583,,,,0.163839229656123,0.43137254901960786,0.03269542787404198,,,
103_203,16,board,6687,0.28832062210258713,0.8911320472558696,6.883707726789223,0.19257693528725287,0.5490196078431373,0.014004762739744134,-0.11222683650406248,0.5490196078431373,0.01961530341533503,0.3338519417413887,0.17647058823529413,0.017794111351597617,0.22593969190433558,0.5294117647058824,0.014838547663654587,-0.5544067420118162,0.3333333333333333,0.04298345310135512,-0.07099952730659523,0.6862745098039216,0.018335903028141885,0.21705479881991085,0.6666666666666666,-0.00908952590470825,2.9481692411591838,0.19218789677650047,0.49019607843137253,0.021443549633802333,0.09379578835868618,0.8235294117647058,0.024317557031893634,0.2683544484552981,0.1568627450980392,0.020532508334339637,0.2427446422826977,0.39215686274509803,0.02296434353069984,-0.6747270226561072,0.37254901960784315,0.07118845059221583,0.19706907659932138,0.6666666666666666,0.018409219961844782,-0.5718054945284874,0.35294117647058826,0.014845588929232833
103_203,17,board,13662,0.33604157517200994,1.0,6.205755912862727,0.11812717125742436,0.43137254901960786,0.008033334775555127,0.17287126263357766,0.19607843137254902,-0.01442033902134765,0.11238777313561667,0.47058823529411764,0.01484150784320127,0.11812717125742436,0.43137254901960786,0.008033334775555127,,,,0.17287126263357766,0.19607843137254902,-0.01442033902134765,,,,2.434053179824725,0.12682379041569716,0.39215686274509803,0.0025260330762604767,0.07918047201973466,0.6078431372549019,-0.02041854026721879,0.15850264807949982,0.39215686274509803,0.009726988276451515,0.12682379041569716,0.39215686274509803,0.0025260330762604767,,,,0.07918047201973466,0.6078431372549019,-0.02041854026721879,,,
103_203,18,board,4698,0.194125159642401,0.44699872286079184,6.715385335479239,0.39176661511284705,0.37254901960784315,-0.01318341292664192,0.3333611970347368,0.5882352941176471,-0.01997645658085951,0.3765821900452058,0.43137254901960786,-0.01322299284943957,0.4451295627137948,0.5686274509803921,-0.021657512260448576,0.3626883909776786,0.49019607843137253,0.00160798187653022,0.31925408972343633,0.45098039215686275,-0.005408954703329186,0.3538577676876826,0.7450980392156863,-0.02184519372267949,2.3726694520926004,0.4937632145968884,0.17647058823529413,-0.018035304804053798,0.20052423835120628,0.7647058823529411,0.014394755428372279,0.502120247239461,0.23529411764705882,-0.021283571688506708,0.5996469842308925,0.27450980392156865,-0.03767207262654444,0.44162116522727324,0.47058823529411764,-0.0013073488324438064,0.6271783684539132,0.09803921568627451,-0.007080418941061543,-0.043429241863968765,0.9803921568627451,0.045889010317382635
103_203,19,board,6230,0.4280898876404494,0.3097913322632424,6.294560204426817,-0.23356772854373273,0.27450980392156865,0.0179528454851621,0.03986711997642651,0.8627450980392157,0.02253846795164038,-0.24500121569391203,0.27450980392156865,0.017285489302973897,-0.38664665035039164,0.21568627450980393,0.016505941395487323,-0.28355975678564893,0.13725490196078433,0.015752825653528615,-0.21861336911254284,0.5882352941176471,0.0319995272508462,0.13205186655813664,0.5294117647058824,0.017536292721702765,2.881756629615246,-0.09699825725419653,0.7843137254901961,0.02005616574468405,0.032779219696022474,0.7843137254901961,0.01598082383141746,-0.096101405766755,0.8235294117647058,0.021993808847619527,-0.14235456816440828,0.6078431372549019,0.029306501007676893,-0.16685163968021363,0.49019607843137253,0.012312568739178931,-0.15893143170439253,0.47058823529411764,0.02433301289754565,0.16792628325199074,0.3137254901960784,0.015228530020387526
103_203,20,board,10098,0.40918993860170333,1.0,6.1984254492846835,0.1232879823399775,0.5882352941176471,-0.02381761617701444,0.1588117575943052,0.35294117647058826,-0.03485597902626565,0.2438736804878204,0.29411764705882354,-0.02058812996771213,0.1232879823399775,0.5882352941176471,-0.02381761617701444,,,,0.1588117575943052,0.35294117647058826,-0.03485597902626565,,,,2.6928002870093,0.13166652664101053,0.49019607843137253,-0.01086420188485465,0.2435170043371994,0.1568627450980392,-0.007457124837546489,0.15078281546999814,0.5686274509803921,-0.017660555502684906,0.13166652664101053,0.49019607843137253,-0.01086420188485465,,,,0.2435170043371994,0.1568627450980392,-0.007457124837546489,,,
103_203,21,board,22594,0.3693901035673188,0.6622554660529344,6.673433456394965,0.07036603084359123,0.5882352941176471,0.014385357452063229,0.05989724359797937,0.5686274509803921,0.013491253729893855,0.007120400642690209,0.9215686274509803,0.015526253956962251,-0.016647055497944672,0.8235294117647058,0.005285318916775406,0.11949676076702816,0.5294117647058824,0.03733544202931707,-0.2571077090622923,0.13725490196078433,-0.007819068823537232,0.13083428208439374,0.6862745098039216,0.06583484943529692,2.774518166888776,0.07017400737290556,0.5686274509803921,0.020122470257435174,0.2074852549204182,0.0784313725490196,0.02571877080388369,-0.04298409139165086,0.803921568627451,0.017802051701924674,-0.014344573245922252,0.9215686274509803,0.012669812061406787,0.009439564483282564,0.9803921568627451,0.04647512061089101,-0.07402695604003205,0.6666666666666666,0.020034398687871807,0.20289465229328155,0.5882352941176471,0.05914706124358528
