speaker,start,end,duration
SPEAKER_00,2.039,10.392,8.353
SPEAKER_00,13.852,16.687,2.835
SPEAKER_00,18.425,20.146,1.721
SPEAKER_00,21.108,21.53,0.422
SPEAKER_00,21.935,26.255,4.32
SPEAKER_00,27.318,28.702,1.384
SPEAKER_00,28.735,30.997,2.261
SPEAKER_01,28.972,29.663,0.692
