speaker,start,end,duration
SPEAKER_01,3.052,4.503,1.451
SPEAKER_01,5.026,8.35,3.324
SPEAKER_00,8.722,8.958,0.236
SPEAKER_01,8.738,10.645,1.907
SPEAKER_01,12.873,14.982,2.109
SPEAKER_00,15.809,17.193,1.384
SPEAKER_01,16.906,18.779,1.873
SPEAKER_00,18.526,20.23,1.704
SPEAKER_01,20.585,20.973,0.388
SPEAKER_01,21.884,22.373,0.489
