speaker,start,end,duration
SPEAKER_00,0.031,0.098,0.068
SPEAKER_00,2.123,3.693,1.569
SPEAKER_00,4.486,9.464,4.978
SPEAKER_00,10.342,10.983,0.641
SPEAKER_00,11.253,13.598,2.346
SPEAKER_01,11.759,13.43,1.671
SPEAKER_00,14.206,14.83,0.624
SPEAKER_00,17.328,22.39,5.062
SPEAKER_00,23.47,25.259,1.789
SPEAKER_00,26.002,26.39,0.388
SPEAKER_00,26.44,27.841,1.401
SPEAKER_01,26.474,27.385,0.911
