speaker,start,end,duration
SPEAKER_00,0.031,0.149,0.118
SPEAKER_00,1.162,4.03,2.869
SPEAKER_00,4.79,5.515,0.726
SPEAKER_01,6.359,6.629,0.27
SPEAKER_00,7.996,14.392,6.396
SPEAKER_01,10.342,10.848,0.506
SPEAKER_00,14.797,17.598,2.801
SPEAKER_00,17.969,18.847,0.878
SPEAKER_00,19.505,19.606,0.101
SPEAKER_01,19.606,19.758,0.152
SPEAKER_00,19.758,26.575,6.818
SPEAKER_01,19.792,19.994,0.203
SPEAKER_01,21.918,22.745,0.827
SPEAKER_00,27.672,28.617,0.945
SPEAKER_01,27.959,28.212,0.253
SPEAKER_00,28.972,29.039,0.068
SPEAKER_00,29.157,30.035,0.878
SPEAKER_00,30.727,31.3,0.574
SPEAKER_00,31.975,33.106,1.131
SPEAKER_00,34.844,36.11,1.266
SPEAKER_01,36.751,39.569,2.818
SPEAKER_00,39.704,40.008,0.304
SPEAKER_00,40.025,40.177,0.152
SPEAKER_00,40.345,40.97,0.624
SPEAKER_00,41.662,43.383,1.721
SPEAKER_01,43.045,43.72,0.675
SPEAKER_00,43.94,45.745,1.806
SPEAKER_01,45.948,46.657,0.709
SPEAKER_00,46.673,47.703,1.029
SPEAKER_01,48.074,49.238,1.164
SPEAKER_00,48.952,49.357,0.405
