speaker,start,end,duration
SPEAKER_00,1.33,4.604,3.274
SPEAKER_00,5.701,10.004,4.303
SPEAKER_01,7.743,7.844,0.101
SPEAKER_00,11.236,13.868,2.633
SPEAKER_00,14.662,15.978,1.316
SPEAKER_01,15.607,15.708,0.101
SPEAKER_00,16.163,16.552,0.388
