speaker,start,end,duration
SPEAKER_00,1.702,4.402,2.7
SPEAKER_00,5.161,5.313,0.152
SPEAKER_00,5.971,7.321,1.35
SPEAKER_01,6.815,7.304,0.489
SPEAKER_00,7.422,7.726,0.304
