speaker,start,end,duration
SPEAKER_01,3.17,6.427,3.257
SPEAKER_01,6.545,8.468,1.924
SPEAKER_01,10.122,12.097,1.974
SPEAKER_01,13.818,17.598,3.78
SPEAKER_01,19.336,24.82,5.484
SPEAKER_00,26.272,27.841,1.569
SPEAKER_00,29.798,31.115,1.316
SPEAKER_01,32.161,32.937,0.776
SPEAKER_00,33.089,33.73,0.641
SPEAKER_01,34.237,36.818,2.582
SPEAKER_00,36.785,37.78,0.996
SPEAKER_01,40.565,41.965,1.401
SPEAKER_00,43.18,49.998,6.817
SPEAKER_01,44.716,45.509,0.793
SPEAKER_01,50.521,51.331,0.81
SPEAKER_01,52.495,53.845,1.35
SPEAKER_01,55.432,60.612,5.181
SPEAKER_00,59.532,64.274,4.742
SPEAKER_01,61.979,62.3,0.321
SPEAKER_01,63.903,64.24,0.338
SPEAKER_00,64.392,66.13,1.738
SPEAKER_00,67.43,69.927,2.498
