speaker,start,end,duration
SPEAKER_00,0.031,1.87,1.839
SPEAKER_00,3.71,5.245,1.536
SPEAKER_00,6.764,9.953,3.189
SPEAKER_01,9.177,9.194,0.017
SPEAKER_01,10.51,10.814,0.304
SPEAKER_00,11.455,14.138,2.683
SPEAKER_00,15.657,17.564,1.907
SPEAKER_01,17.834,18.222,0.388
SPEAKER_01,19.96,20.416,0.456
SPEAKER_00,20.129,21.26,1.131
SPEAKER_01,21.513,21.833,0.321
SPEAKER_00,23.487,32.566,9.079
SPEAKER_01,36.346,36.886,0.54
SPEAKER_01,37.426,40.75,3.324
SPEAKER_00,40.902,41.965,1.063
SPEAKER_01,41.965,42.37,0.405
SPEAKER_00,44.243,48.496,4.252
SPEAKER_01,45.29,46.488,1.198
SPEAKER_00,50.74,51.618,0.878
SPEAKER_00,51.972,55.465,3.493
SPEAKER_01,56.123,57.862,1.738
SPEAKER_01,57.946,58.03,0.084
SPEAKER_01,58.469,61.304,2.835
SPEAKER_00,61.405,61.861,0.456
SPEAKER_01,64.898,68.881,3.983
SPEAKER_00,65.978,66.535,0.557
SPEAKER_01,68.965,69.691,0.726
