speaker,start,end,duration
SPEAKER_00,0.031,0.672,0.641
SPEAKER_00,5.515,12.029,6.514
SPEAKER_00,12.333,15.657,3.324
SPEAKER_00,15.91,16.282,0.371
SPEAKER_00,16.687,17.227,0.54
SPEAKER_00,20.197,23.15,2.953
SPEAKER_00,25.765,28.06,2.295
SPEAKER_00,28.111,28.651,0.54
SPEAKER_00,28.955,30.777,1.823
SPEAKER_00,32.262,34.253,1.991
SPEAKER_01,32.583,32.752,0.169
SPEAKER_01,33.19,33.376,0.186
SPEAKER_00,34.321,36.346,2.025
SPEAKER_01,35.063,35.435,0.371
SPEAKER_00,36.937,38.033,1.097
SPEAKER_01,37.595,37.848,0.253
SPEAKER_00,38.185,44.092,5.906
SPEAKER_01,39.856,40.328,0.472
SPEAKER_01,41.493,42.05,0.557
SPEAKER_01,43.113,43.602,0.489
SPEAKER_00,44.699,45.104,0.405
SPEAKER_00,45.172,45.526,0.354
