speaker,start,end,duration
SPEAKER_01,3.355,4.047,0.692
SPEAKER_01,5.077,7.574,2.498
SPEAKER_01,8.654,12.738,4.084
SPEAKER_00,12.772,14.493,1.721
SPEAKER_01,15.016,16.248,1.232
SPEAKER_01,20.804,22.627,1.823
SPEAKER_00,23.234,25.765,2.531
SPEAKER_01,24.837,24.922,0.084
SPEAKER_01,26.187,30.558,4.371
SPEAKER_01,30.98,31.958,0.979
SPEAKER_01,32.684,33.562,0.877
SPEAKER_01,34.456,35.097,0.641
SPEAKER_01,36.802,36.818,0.017
SPEAKER_00,36.818,36.869,0.051
SPEAKER_01,36.869,39.704,2.835
SPEAKER_00,37.038,38.084,1.046
SPEAKER_00,40.733,41.729,0.996
SPEAKER_01,41.729,41.813,0.084
SPEAKER_00,41.813,41.83,0.017
SPEAKER_01,42.303,44.446,2.143
SPEAKER_00,44.024,45.138,1.114
SPEAKER_01,45.374,45.695,0.321
SPEAKER_00,48.783,49.357,0.574
SPEAKER_00,50.69,51.989,1.299
SPEAKER_01,51.989,53.238,1.249
SPEAKER_00,52.462,53.272,0.81
SPEAKER_01,53.272,53.39,0.118
SPEAKER_01,53.558,54.402,0.844
SPEAKER_01,55.82,58.25,2.43
SPEAKER_00,58.3,59.178,0.877
SPEAKER_01,59.65,60.342,0.692
SPEAKER_00,61.726,62.317,0.591
SPEAKER_01,63.093,65.185,2.092
