speaker,start,end,duration
SPEAKER_00,0.031,0.976,0.945
SPEAKER_00,1.162,4.233,3.071
SPEAKER_00,4.655,5.009,0.354
SPEAKER_01,4.688,4.722,0.034
SPEAKER_01,4.739,4.992,0.253
SPEAKER_00,5.296,6.14,0.844
