speaker,start,end,duration
SPEAKER_00,4.587,7.118,2.531
SPEAKER_00,8.587,11.05,2.464
SPEAKER_00,11.388,12.4,1.012
SPEAKER_00,12.687,13.345,0.658
SPEAKER_00,13.565,14.797,1.232
SPEAKER_00,15.623,16.653,1.029
SPEAKER_01,15.691,16.163,0.473
SPEAKER_00,17.767,18.391,0.624
SPEAKER_00,18.425,20.163,1.738
