speaker,start,end,duration
SPEAKER_00,3.625,7.422,3.797
SPEAKER_01,6.14,7.118,0.979
SPEAKER_00,7.473,9.515,2.042
SPEAKER_00,10.021,12.451,2.43
SPEAKER_01,10.713,11.337,0.624
SPEAKER_00,12.94,14.324,1.384
SPEAKER_00,14.375,15.843,1.468
