speaker,start,end,duration
SPEAKER_00,0.031,1.938,1.907
SPEAKER_00,3.71,9.346,5.636
SPEAKER_00,10.426,14.037,3.611
SPEAKER_00,15.556,16.805,1.249
SPEAKER_01,15.91,16.602,0.692
