speaker,start,end,duration
SPEAKER_01,1.904,3.541,1.637
SPEAKER_00,4.047,5.802,1.755
SPEAKER_01,5.38,7.76,2.379
SPEAKER_00,7.827,11.422,3.594
SPEAKER_01,10.578,11.827,1.249
SPEAKER_00,11.827,12.215,0.388
SPEAKER_01,12.215,12.4,0.186
SPEAKER_01,12.974,13.008,0.034
SPEAKER_01,13.244,15.539,2.295
SPEAKER_00,13.328,13.767,0.439
SPEAKER_01,16.147,16.18,0.034
SPEAKER_00,17.108,19.353,2.244
SPEAKER_01,20.095,20.618,0.523
SPEAKER_00,20.804,21.175,0.371
SPEAKER_01,22.053,22.525,0.473
SPEAKER_00,24.652,25.31,0.658
SPEAKER_01,25.63,27.959,2.329
SPEAKER_00,29.292,30.187,0.894
SPEAKER_01,30.558,33.224,2.666
SPEAKER_00,33.933,34.878,0.945
SPEAKER_01,34.878,36.785,1.907
SPEAKER_00,37.19,38.894,1.704
SPEAKER_01,38.152,38.877,0.726
SPEAKER_01,38.894,40.666,1.772
SPEAKER_00,40.16,42.083,1.924
SPEAKER_01,42.657,43.653,0.996
SPEAKER_00,44.277,44.834,0.557
SPEAKER_00,44.969,45.037,0.068
SPEAKER_00,45.83,47.028,1.198
SPEAKER_00,48.479,49.475,0.996
SPEAKER_00,50.774,52.85,2.076
SPEAKER_01,52.343,53.356,1.013
SPEAKER_00,53.896,54.976,1.08
