time,CoG,filename
30.86825858802222,1969.1214775086216,108_208_37_1_20250114_163259_muscle_board.wav
32.983969526326305,1950.9418588272617,108_208_37_1_20250114_163259_muscle_board.wav
35.09968046463039,1929.6521429133106,108_208_37_1_20250114_163259_muscle_board.wav
37.21539140293448,1906.8190863428322,108_208_37_1_20250114_163259_muscle_board.wav
39.331102341238555,1870.2663280561535,108_208_37_1_20250114_163259_muscle_board.wav
41.44681327954265,1854.6933889581733,108_208_37_1_20250114_163259_muscle_board.wav
43.56252421784673,1835.1930502970295,108_208_37_1_20250114_163259_muscle_board.wav
45.67823515615082,1820.5198275486239,108_208_37_1_20250114_163259_muscle_board.wav
47.7939460944549,1815.9259641928318,108_208_37_1_20250114_163259_muscle_board.wav
49.90965703275899,1803.663218806822,108_208_37_1_20250114_163259_muscle_board.wav
52.02536797106308,1781.6532300370388,108_208_37_1_20250114_163259_muscle_board.wav
54.14107890936716,1733.0651291006131,108_208_37_1_20250114_163259_muscle_board.wav
56.25678984767126,1693.0216196061958,108_208_37_1_20250114_163259_muscle_board.wav
58.37250078597533,1670.907565500532,108_208_37_1_20250114_163259_muscle_board.wav
60.488211724279424,1657.6972630748144,108_208_37_1_20250114_163259_muscle_board.wav
62.60392266258351,1681.6262919225996,108_208_37_1_20250114_163259_muscle_board.wav
64.71963360088759,1727.8202346506757,108_208_37_1_20250114_163259_muscle_board.wav
66.83534453919168,1752.834238057416,108_208_37_1_20250114_163259_muscle_board.wav
68.95105547749577,1744.6927131050188,108_208_37_1_20250114_163259_muscle_board.wav
71.06676641579986,1697.2476969352574,108_208_37_1_20250114_163259_muscle_board.wav
73.18247735410394,1636.3507534790876,108_208_37_1_20250114_163259_muscle_board.wav
75.29818829240803,1572.5270469713491,108_208_37_1_20250114_163259_muscle_board.wav
77.4138992307121,1540.9915419812953,108_208_37_1_20250114_163259_muscle_board.wav
79.5296101690162,1574.792648187744,108_208_37_1_20250114_163259_muscle_board.wav
81.64532110732029,1658.0969358669718,108_208_37_1_20250114_163259_muscle_board.wav
83.76103204562438,1749.7063950375587,108_208_37_1_20250114_163259_muscle_board.wav
85.87674298392845,1819.217351995818,108_208_37_1_20250114_163259_muscle_board.wav
87.99245392223254,1850.2424480074435,108_208_37_1_20250114_163259_muscle_board.wav
90.10816486053663,1815.2758275022377,108_208_37_1_20250114_163259_muscle_board.wav
92.22387579884071,1741.9192832012357,108_208_37_1_20250114_163259_muscle_board.wav
94.3395867371448,1667.0038529508724,108_208_37_1_20250114_163259_muscle_board.wav
96.45529767544889,1604.6712083594728,108_208_37_1_20250114_163259_muscle_board.wav
98.57100861375298,1567.6653588489362,108_208_37_1_20250114_163259_muscle_board.wav
100.68671955205704,1523.0580925267386,108_208_37_1_20250114_163259_muscle_board.wav
102.80243049036115,1469.7295918677894,108_208_37_1_20250114_163259_muscle_board.wav
104.91814142866524,1371.0249837966796,108_208_37_1_20250114_163259_muscle_board.wav
107.03385236696933,1269.6458096749923,108_208_37_1_20250114_163259_muscle_board.wav
109.14956330527339,1198.5677121285544,108_208_37_1_20250114_163259_muscle_board.wav
111.2652742435775,1162.3003583807422,108_208_37_1_20250114_163259_muscle_board.wav
113.38098518188158,1128.6409612985044,108_208_37_1_20250114_163259_muscle_board.wav
115.49669612018567,1074.399250304708,108_208_37_1_20250114_163259_muscle_board.wav
117.61240705848974,1049.759094664841,108_208_37_1_20250114_163259_muscle_board.wav
119.72811799679384,1063.0091925641777,108_208_37_1_20250114_163259_muscle_board.wav
121.84382893509793,1093.0188133071943,108_208_37_1_20250114_163259_muscle_board.wav
123.959539873402,1096.8386245060328,108_208_37_1_20250114_163259_muscle_board.wav
126.07525081170608,1075.2144193377471,108_208_37_1_20250114_163259_muscle_board.wav
128.1909617500102,1067.3279603492701,108_208_37_1_20250114_163259_muscle_board.wav
130.30667268831428,1062.9785958304612,108_208_37_1_20250114_163259_muscle_board.wav
132.42238362661834,1034.6553716332999,108_208_37_1_20250114_163259_muscle_board.wav
134.53809456492243,1020.0090928463533,108_208_37_1_20250114_163259_muscle_board.wav
136.65380550322652,1017.2382662991452,108_208_37_1_20250114_163259_muscle_board.wav
138.7695164415306,1021.0729144428211,108_208_37_1_20250114_163259_muscle_board.wav
140.8852273798347,1026.0814540363829,108_208_37_1_20250114_163259_muscle_board.wav
143.0009383181388,995.1027420632357,108_208_37_1_20250114_163259_muscle_board.wav
145.11664925644288,946.7270269743572,108_208_37_1_20250114_163259_muscle_board.wav
147.23236019474695,924.9518632934703,108_208_37_1_20250114_163259_muscle_board.wav
149.34807113305104,928.9970796600549,108_208_37_1_20250114_163259_muscle_board.wav
151.46378207135513,908.0163009424911,108_208_37_1_20250114_163259_muscle_board.wav
153.5794930096592,883.5432267504652,108_208_37_1_20250114_163259_muscle_board.wav
