time,audio,envelope,filename,envelope_norm,envelope_change
0.0,0.0,4.1079821943025846e-05,108_208_12_1_20250114_162456_flower_ground.wav,0.023064149233425747,-4.884376354451846e-05
2.0,0.0,4.465278365937429e-05,108_208_12_1_20250114_162456_flower_ground.wav,0.023295259327913855,2.6931727936273413e-05
4.0,-0.0001190185546875,4.81217395613916e-05,108_208_12_1_20250114_162456_flower_ground.wav,0.023519642008148576,0.00010060703138361028
6.0,-9.46044921875e-05,5.141718470788655e-05,108_208_12_1_20250114_162456_flower_ground.wav,0.023732801481898887,0.00017076336775266192
8.0,-3.3569335937505275e-05,5.448461589686234e-05,108_208_12_1_20250114_162456_flower_ground.wav,0.023931212315319313,0.0002363594804766795
10.0,0.000762939453125,5.727840312344932e-05,108_208_12_1_20250114_162456_flower_ground.wav,0.024111923020100123,0.00029672146591335684
12.0,-0.0001739501953125,5.976319798038776e-05,108_208_12_1_20250114_162456_flower_ground.wav,0.024272647153119248,0.00035149844992161077
14.0,-6.1035156250009575e-06,6.192082841176484e-05,108_208_12_1_20250114_162456_flower_ground.wav,0.024412209290206904,0.00040061388896554963
16.0,0.0002838134765625,6.37452108703509e-05,108_208_12_1_20250114_162456_flower_ground.wav,0.02453021592891704,0.0004442141015523995
18.0,-5.4931640625004304e-05,6.523444363027308e-05,108_208_12_1_20250114_162456_flower_ground.wav,0.024626544059802292,0.00048261566621605345
20.0,-0.0001678466796875,6.638682310533206e-05,108_208_12_1_20250114_162456_flower_ground.wav,0.02470108348969555,0.0005162529755076613
22.0,4.8828124999994256e-05,6.720075742141536e-05,108_208_12_1_20250114_162456_flower_ground.wav,0.02475373125130923,0.0005456265901971296
24.0,-0.0001708984375,6.767883539071397e-05,108_208_12_1_20250114_162456_flower_ground.wav,0.024784654796935743,0.0005712525625654618
26.0,-0.0001983642578124,6.783212182381194e-05,108_208_12_1_20250114_162456_flower_ground.wav,0.024794569832373967,0.0005936128512789489
28.0,8.850097656250047e-05,6.767441176295318e-05,108_208_12_1_20250114_162456_flower_ground.wav,0.02478436866315908,0.0006131096641645861
30.0,-0.0001068115234375,6.722666307709067e-05,108_208_12_1_20250114_162456_flower_ground.wav,0.02475540690837085,0.0006300337717761872
32.0,-0.0004364013671874,6.65159226045352e-05,108_208_12_1_20250114_162456_flower_ground.wav,0.024709434040254958,0.0006445581316082211
34.0,0.0003234863281249,6.557509957146886e-05,108_208_12_1_20250114_162456_flower_ground.wav,0.024648578728239254,0.000656754894001469
36.0,-0.0005035400390625,6.44391293613323e-05,108_208_12_1_20250114_162456_flower_ground.wav,0.024575100699801646,0.0006666219748575889
38.0,7.62939453125e-05,6.314318680526421e-05,108_208_12_1_20250114_162456_flower_ground.wav,0.024491275170629687,0.0006741086939947931
40.0,0.0001678466796875,6.172128950630952e-05,108_208_12_1_20250114_162456_flower_ground.wav,0.024399302503357548,0.0006791377497619148
42.0,-9.765625e-05,6.020518732959138e-05,108_208_12_1_20250114_162456_flower_ground.wav,0.02430123637639298,0.0006816234732188004
44.0,-0.000146484375,5.862330618852382e-05,108_208_12_1_20250114_162456_flower_ground.wav,0.02419891546477831,0.0006814865070890841
46.0,1.831054687500287e-05,5.700054955845247e-05,108_208_12_1_20250114_162456_flower_ground.wav,0.02409395060148549,0.0006786652018469666
48.0,-0.0001800537109374,5.5357492899096815e-05,108_208_12_1_20250114_162456_flower_ground.wav,0.023987672670195175,0.0006731241280431464
50.0,1.52587890625e-05,5.371334485883993e-05,108_208_12_1_20250114_162456_flower_ground.wav,0.023881324145049333,0.0006648601530683568
52.0,-0.0001251220703124,5.2087290384933335e-05,108_208_12_1_20250114_162456_flower_ground.wav,0.023776145967128234,0.0006539064733321605
54.0,-0.00020751953125,5.049736990338922e-05,108_208_12_1_20250114_162456_flower_ground.wav,0.023673305046376984,0.0006403348393018827
56.0,-5.79833984375e-05,4.896013845560669e-05,108_208_12_1_20250114_162456_flower_ground.wav,0.02357387221351971,0.0006242560901487622
58.0,-2.746582031250096e-05,4.749133310668363e-05,108_208_12_1_20250114_162456_flower_ground.wav,0.023478865390070963,0.0006058190981457968
60.0,-0.000244140625,4.610438062185713e-05,108_208_12_1_20250114_162456_flower_ground.wav,0.023389153060282455,0.000585208244760372
62.0,3.356933593749904e-05,4.480873603606845e-05,108_208_12_1_20250114_162456_flower_ground.wav,0.023305346804739738,0.0005626395889032662
64.0,-0.0001495361328125,4.361012960120229e-05,108_208_12_1_20250114_162456_flower_ground.wav,0.023227817273665144,0.000538355981084683
66.0,-0.0001007080078124,4.251139719899093e-05,108_208_12_1_20250114_162456_flower_ground.wav,0.023156747900564857,0.0005126214748011202
68.0,-0.0001281738281249,4.151314151465093e-05,108_208_12_1_20250114_162456_flower_ground.wav,0.02309217766896246,0.00048571540079270833
70.0,-0.000244140625,4.061499211965674e-05,108_208_12_1_20250114_162456_flower_ground.wav,0.02303408261840768,0.00045792640019417163
72.0,-4.272460937500192e-05,3.9815176974672016e-05,108_208_12_1_20250114_162456_flower_ground.wav,0.022982348127975092,0.0004295466136174834
74.0,-0.0001617431640625,3.911058378902063e-05,108_208_12_1_20250114_162456_flower_ground.wav,0.0229367728851824,0.00040086614734673783
76.0,-9.1552734375e-05,3.849570962593868e-05,108_208_12_1_20250114_162456_flower_ground.wav,0.02289700094324472,0.00037216791869583237
78.0,-9.46044921875e-05,3.79635668457239e-05,108_208_12_1_20250114_162456_flower_ground.wav,0.02286258032024899,0.00034372300953098385
80.0,1.52587890625e-05,3.750616651804457e-05,108_208_12_1_20250114_162456_flower_ground.wav,0.022832994267741016,0.00031578667732915053
82.0,-0.0001129150390625,3.7115039578195545e-05,108_208_12_1_20250114_162456_flower_ground.wav,0.022807694980706467,0.00028859514664937976
84.0,8.85009765625e-05,3.678308327522391e-05,108_208_12_1_20250114_162456_flower_ground.wav,0.022786223031484438,0.00026236323408713184
86.0,-0.000140380859375,3.650508784705373e-05,108_208_12_1_20250114_162456_flower_ground.wav,0.02276824143672575,0.0002372827557234726
88.0,-4.8828125e-05,3.6279166620163904e-05,108_208_12_1_20250114_162456_flower_ground.wav,0.022753628160615214,0.00021352153673771812
90.0,-0.0001678466796875,3.610269287009831e-05,108_208_12_1_20250114_162456_flower_ground.wav,0.022742213298579127,0.00019122274886350737
92.0,-9.155273437494264e-06,3.597051094744233e-05,108_208_12_1_20250114_162456_flower_ground.wav,0.022733663367440805,0.00017050435048717987
94.0,3.3569335937488524e-05,3.587564343395678e-05,108_208_12_1_20250114_162456_flower_ground.wav,0.022727527046442687,0.000151458602909487
96.0,-0.0001190185546875,3.5809713964431266e-05,108_208_12_1_20250114_162456_flower_ground.wav,0.02272326252665736,0.00013415181732902837
98.0,-0.0001464843749999,3.57669544384517e-05,108_208_12_1_20250114_162456_flower_ground.wav,0.022720496709703827,0.00011862450352393508
100.0,-0.0001068115234375,3.574317962058383e-05,108_208_12_1_20250114_162456_flower_ground.wav,0.022718958881750413,0.00010489195211070566
102.0,-0.000115966796875,3.57331081964318e-05,108_208_12_1_20250114_162456_flower_ground.wav,0.022718307431224997,9.294513465158108e-05
104.0,-2.13623046875e-05,3.573114875479598e-05,108_208_12_1_20250114_162456_flower_ground.wav,0.022718180688545517,8.275180926956784e-05
106.0,-1.220703125e-05,3.5731774800333e-05,108_208_12_1_20250114_162456_flower_ground.wav,0.0227182211830861,7.42578343995875e-05
108.0,-0.000177001953125,3.5729247801126904e-05,108_208_12_1_20250114_162456_flower_ground.wav,0.022718057729046663,6.738874455028017e-05
110.0,-0.0001068115234375,3.571744632717616e-05,108_208_12_1_20250114_162456_flower_ground.wav,0.022717294373607567,6.205159692125927e-05
112.0,1.52587890625e-05,3.568845779898171e-05,108_208_12_1_20250114_162456_flower_ground.wav,0.02271541930692005,5.813711427659181e-05
114.0,-9.46044921875e-05,3.563409969053573e-05,108_208_12_1_20250114_162456_flower_ground.wav,0.022711903258169328,5.552225890402831e-05
116.0,-0.0001129150390625,3.554859956172018e-05,108_208_12_1_20250114_162456_flower_ground.wav,0.02270637284826908,5.407338158347377e-05
118.0,-7.9345703125e-05,3.5428323942904856e-05,108_208_12_1_20250114_162456_flower_ground.wav,0.022698593053287832,5.3649945741690115e-05
120.0,-6.103515625e-05,3.527452379641762e-05,108_208_12_1_20250114_162456_flower_ground.wav,0.022688644789295997,5.410865394269172e-05
122.0,-0.0002777099609374,3.50919321398494e-05,108_208_12_1_20250114_162456_flower_ground.wav,0.022676834202350966,5.5307657151978204e-05
124.0,0.0001312255859375,3.488463534738387e-05,108_208_12_1_20250114_162456_flower_ground.wav,0.022663425611636267,5.711046263811369e-05
126.0,-3.0517578125e-05,3.465641797007035e-05,108_208_12_1_20250114_162456_flower_ground.wav,0.02264866381349177,5.938926473168847e-05
128.0,-0.0001495361328125,3.441166892235214e-05,108_208_12_1_20250114_162456_flower_ground.wav,0.02263283269633056,6.202761998341586e-05
130.0,1.52587890625e-05,3.415462241203724e-05,108_208_12_1_20250114_162456_flower_ground.wav,0.022616206141667268,6.492248787010786e-05
132.0,-0.0001617431640625,3.388914881382715e-05,108_208_12_1_20250114_162456_flower_ground.wav,0.02259903449717813,6.798565979743978e-05
134.0,-9.1552734375e-05,3.361800234748893e-05,108_208_12_1_20250114_162456_flower_ground.wav,0.0225814959142236,7.114461289335177e-05
136.0,-4.57763671875e-05,3.334352075374929e-05,108_208_12_1_20250114_162456_flower_ground.wav,0.02256374160502567,7.434286604907497e-05
138.0,-0.0001434326171875,3.306902062657807e-05,108_208_12_1_20250114_162456_flower_ground.wav,0.022545986097028688,7.753992680041037e-05
140.0,-9.1552734375e-05,3.2799350045965123e-05,108_208_12_1_20250114_162456_flower_ground.wav,0.022528542978878005,8.071085794548025e-05
142.0,-2.13623046875e-05,3.253991286377881e-05,108_208_12_1_20250114_162456_flower_ground.wav,0.022511761788244346,8.384539754636113e-05
144.0,-0.0001220703125,3.2294098607212943e-05,108_208_12_1_20250114_162456_flower_ground.wav,0.022495861770116102,8.694653764707235e-05
146.0,-2.13623046875e-05,3.206343684670038e-05,108_208_12_1_20250114_162456_flower_ground.wav,0.02248094186178825,9.002856036794925e-05
148.0,-0.000164794921875,3.184997298747543e-05,108_208_12_1_20250114_162456_flower_ground.wav,0.0224671343663288,9.3114650379544e-05
150.0,-0.0001220703125,3.165568306886552e-05,108_208_12_1_20250114_162456_flower_ground.wav,0.022454567100006696,9.623421104280465e-05
152.0,-1.8310546875e-05,3.1481555868881034e-05,108_208_12_1_20250114_162456_flower_ground.wav,0.0224433040200086,9.941993846360783e-05
154.0,-0.0001220703125,3.132835333844901e-05,108_208_12_1_20250114_162456_flower_ground.wav,0.02243339441165149,0.00010270468083748166
156.0,-0.000115966796875,3.119508453757338e-05,108_208_12_1_20250114_162456_flower_ground.wav,0.02242477417790486,0.00010611814065780198
158.0,-7.62939453125e-05,3.1079361261551346e-05,108_208_12_1_20250114_162456_flower_ground.wav,0.02241728884238236,0.00010968351998000495
160.0,-0.0001220703125,3.097886811486706e-05,108_208_12_1_20250114_162456_flower_ground.wav,0.022410788638218583,0.00011341424216157939
162.0,-4.272460937500383e-05,3.0889278896793865e-05,108_208_12_1_20250114_162456_flower_ground.wav,0.0224049937335155,0.00011731088052212513
164.0,-0.0001007080078125,3.080311289793514e-05,108_208_12_1_20250114_162456_flower_ground.wav,0.022399420253103774,0.00012135843275682473
166.0,-4.882812499997705e-05,3.071058031178857e-05,108_208_12_1_20250114_162456_flower_ground.wav,0.02239343496234913,0.0001255241614144334
168.0,-3.662109375e-05,3.0601437588563726e-05,108_208_12_1_20250114_162456_flower_ground.wav,0.022386375277113277,0.00012975629109005616
170.0,-9.1552734375e-05,3.046425741683111e-05,108_208_12_1_20250114_162456_flower_ground.wav,0.022377502043933652,0.00013398381732663127
172.0,-5.79833984375e-05,3.0284624412155536e-05,108_208_12_1_20250114_162456_flower_ground.wav,0.022365882831644365,0.0001381176191238672
174.0,-0.0003936767578125,3.0045096475488363e-05,108_208_12_1_20250114_162456_flower_ground.wav,0.022350389431918753,0.00014205309800364267
176.0,-0.000103759765625,2.9729850891468185e-05,108_208_12_1_20250114_162456_flower_ground.wav,0.022329998383121195,0.00014567462889350903
178.0,-0.0001556396484375,2.9343148683320264e-05,108_208_12_1_20250114_162456_flower_ground.wav,0.022304985301269547,0.0001488618855846669
180.0,-0.0001373291015625,2.8900469604151925e-05,108_208_12_1_20250114_162456_flower_ground.wav,0.022276351464151623,0.00015149739388099
182.0,-7.9345703125e-05,2.8418672439518145e-05,108_208_12_1_20250114_162456_flower_ground.wav,0.022245187349592785,0.00015347400829174884
184.0,-6.103515625e-05,2.791417862411596e-05,108_208_12_1_20250114_162456_flower_ground.wav,0.02221255514622694,0.0001547011316722932
186.0,-0.0001373291015625,2.740210513211921e-05,108_208_12_1_20250114_162456_flower_ground.wav,0.022179432666190636,0.00015510915412636408
188.0,-2.74658203125e-05,2.6894960329054685e-05,108_208_12_1_20250114_162456_flower_ground.wav,0.022146628988832687,0.00015465208409482225
190.0,-3.0517578125e-05,2.6401921800857345e-05,108_208_12_1_20250114_162456_flower_ground.wav,0.02211473774848813,0.0001533085607988499
192.0,-0.0001922607421875,2.59289649094434e-05,108_208_12_1_20250114_162456_flower_ground.wav,0.02208414544984599,0.00015108155580857187
194.0,4.57763671875e-05,2.548073066516477e-05,108_208_12_1_20250114_162456_flower_ground.wav,0.022055152287653947,0.00014799712843935626
196.0,-1.52587890625e-05,2.505992488020249e-05,108_208_12_1_20250114_162456_flower_ground.wav,0.022027933282121707,0.00014410256667719257
198.0,-0.0001129150390625,2.466990158488912e-05,108_208_12_1_20250114_162456_flower_ground.wav,0.022002705382192074,0.0001394641520477217
200.0,-0.000213623046875,2.4313871017755872e-05,108_208_12_1_20250114_162456_flower_ground.wav,0.021979676235914264,0.00013416467552623587
202.0,-0.000103759765625,2.3993138611724036e-05,108_208_12_1_20250114_162456_flower_ground.wav,0.021958930282683288,0.00012830074823668743
204.0,-8.23974609375e-05,2.370717857623608e-05,108_208_12_1_20250114_162456_flower_ground.wav,0.021940433512757363,0.00012197996216183038
206.0,-0.0001068115234375,2.3454178590626597e-05,108_208_12_1_20250114_162456_flower_ground.wav,0.021924068699691452,0.0001153180334203389
208.0,-8.23974609375e-05,2.323149232777173e-05,108_208_12_1_20250114_162456_flower_ground.wav,0.021909664670951342,0.0001084360952306461
210.0,-9.1552734375e-05,2.303616058134272e-05,108_208_12_1_20250114_162456_flower_ground.wav,0.02189703001601866,0.00010145827325132501
212.0,-0.000103759765625,2.2865254120563167e-05,108_208_12_1_20250114_162456_flower_ground.wav,0.02188597526328547,9.450961666483577e-05
214.0,-0.000152587890625,2.2716236054639578e-05,108_208_12_1_20250114_162456_flower_ground.wav,0.021876336318894195,8.771440105345303e-05
216.0,-7.019042968749235e-05,2.258550430431738e-05,108_208_12_1_20250114_162456_flower_ground.wav,0.021867880189338898,8.119478291169958e-05
218.0,-8.544921875e-05,2.246923301685764e-05,108_208_12_1_20250114_162456_flower_ground.wav,0.02186035940676009,7.506979301193336e-05
220.0,1.52587890625e-05,2.236447034751893e-05,108_208_12_1_20250114_162456_flower_ground.wav,0.02185358303680938,6.945467582999615e-05
222.0,-7.934570312499618e-05,2.226802677851169e-05,108_208_12_1_20250114_162456_flower_ground.wav,0.02184734477171853,6.446056057198e-05
224.0,-6.10351562499235e-06,2.2176084605707784e-05,108_208_12_1_20250114_162456_flower_ground.wav,0.021841397670705125,6.0194421598093635e-05
226.0,-0.000152587890625,2.208561357844666e-05,108_208_12_1_20250114_162456_flower_ground.wav,0.02183554572788607,5.675929944332341e-05
228.0,-0.00023193359375,2.199510901216697e-05,108_208_12_1_20250114_162456_flower_ground.wav,0.021829691615660684,5.42547490920643e-05
230.0,-4.57763671875e-05,2.190433391294056e-05,108_208_12_1_20250114_162456_flower_ground.wav,0.02182382000453667,5.2777416419502965e-05
232.0,-6.7138671875e-05,2.1812868509438888e-05,108_208_12_1_20250114_162456_flower_ground.wav,0.021817903742420302,5.242158802018972e-05
234.0,-5.4931640625e-05,2.1718984082888225e-05,108_208_12_1_20250114_162456_flower_ground.wav,0.021811831010492666,5.3279592551725205e-05
236.0,1.8310546875e-05,2.162246721082723e-05,108_208_12_1_20250114_162456_flower_ground.wav,0.021805588003936047,5.544201596981899e-05
238.0,-4.8828125e-05,2.1526042836557998e-05,108_208_12_1_20250114_162456_flower_ground.wav,0.021799350980419577,5.899769430282979e-05
240.0,-0.0001220703125,2.143317563278928e-05,108_208_12_1_20250114_162456_flower_ground.wav,0.021793344045573444,6.403333461466366e-05
242.0,-3.35693359374847e-05,2.134766068544421e-05,108_208_12_1_20250114_162456_flower_ground.wav,0.02178781267716537,7.063254082737786e-05
244.0,-0.0001220703125,2.1273907112360383e-05,108_208_12_1_20250114_162456_flower_ground.wav,0.0217830420704258,7.887406891247373e-05
246.0,-3.0517578125e-05,2.1215819140363056e-05,108_208_12_1_20250114_162456_flower_ground.wav,0.021779284762689897,8.882921369790086e-05
248.0,-6.40869140625e-05,2.1176673785669672e-05,108_208_12_1_20250114_162456_flower_ground.wav,0.021776752721391898,0.00010055828360043478
250.0,-7.62939453125e-05,2.115838509955e-05,108_208_12_1_20250114_162456_flower_ground.wav,0.021775569753223544,0.00011410617808598165
252.0,-7.62939453125e-05,2.116214534429817e-05,108_208_12_1_20250114_162456_flower_ground.wav,0.02177581297735748,0.0001294972010618664
254.0,-5.18798828125e-05,2.119069069508181e-05,108_208_12_1_20250114_162456_flower_ground.wav,0.021777659377974268,0.00014672970393945388
256.0,-9.765625e-05,2.1248157757044685e-05,108_208_12_1_20250114_162456_flower_ground.wav,0.021781376523349605,0.000165771746006317
258.0,-6.7138671875e-05,2.1338711168108403e-05,108_208_12_1_20250114_162456_flower_ground.wav,0.021787233795005048,0.0001865584903585345
260.0,-0.0001220703125,2.14690867742956e-05,108_208_12_1_20250114_162456_flower_ground.wav,0.021795666888068152,0.00020899080950440415
262.0,-0.000140380859375,2.1648509818024643e-05,108_208_12_1_20250114_162456_flower_ground.wav,0.02180727251944109,0.00023293437458279977
264.0,-3.0517578125e-05,2.18876472181357e-05,108_208_12_1_20250114_162456_flower_ground.wav,0.021822740658067493,0.0002582191886227213
266.0,-0.000128173828125,2.2196767994892432e-05,108_208_12_1_20250114_162456_flower_ground.wav,0.02184273553559378,0.00028463983743095005
268.0,-7.62939453125e-05,2.2586285496585293e-05,108_208_12_1_20250114_162456_flower_ground.wav,0.02186793071924467,0.00031195665526401834
270.0,-1.52587890625e-05,2.3066160737859413e-05,108_208_12_1_20250114_162456_flower_ground.wav,0.02189897051792091,0.00033989790358493114
272.0,-5.798339843750765e-05,2.364616304440564e-05,108_208_12_1_20250114_162456_flower_ground.wav,0.021936486841495243,0.00036816301264493026
274.0,-5.18798828124847e-05,2.4336271317054736e-05,108_208_12_1_20250114_162456_flower_ground.wav,0.0219811251558016,0.0003964269293833836
276.0,-8.544921874997705e-05,2.5145481300962085e-05,108_208_12_1_20250114_162456_flower_ground.wav,0.02203346733315711,0.0004243456232599252
278.0,-0.00018310546875,2.608051370088541e-05,108_208_12_1_20250114_162456_flower_ground.wav,0.02209394808930598,0.0004515627824843631
280.0,-0.0001068115234375,2.714539526232361e-05,108_208_12_1_20250114_162456_flower_ground.wav,0.022162827886466008,0.00047771765250892575
282.0,-2.74658203125e-05,2.8341201038210763e-05,108_208_12_1_20250114_162456_flower_ground.wav,0.022240176262349854,0.0005024538614841705
284.0,-3.662109375e-05,2.966565738412343e-05,108_208_12_1_20250114_162456_flower_ground.wav,0.022325846150680506,0.0005254289976685685
286.0,-6.103515625e-05,3.111304503843519e-05,108_208_12_1_20250114_162456_flower_ground.wav,0.022419467612119163,0.0005463246540281278
288.0,-9.1552734375e-05,3.267428066211503e-05,108_208_12_1_20250114_162456_flower_ground.wav,0.022520453108508864,0.0005648566192880246
290.0,-9.1552734375e-05,3.4337269166741034e-05,108_208_12_1_20250114_162456_flower_ground.wav,0.022628020292528275,0.0005807848749627734
292.0,-0.0001068115234375,3.6086760917636313e-05,108_208_12_1_20250114_162456_flower_ground.wav,0.022741182771153653,0.000593923056950701
294.0,-0.0001373291015625,3.790545580057753e-05,108_208_12_1_20250114_162456_flower_ground.wav,0.02285882152007122,0.0006041470517979301
296.0,-1.52587890625e-05,3.9772329160312245e-05,108_208_12_1_20250114_162456_flower_ground.wav,0.022979576600259025,0.0006114024108443928
298.0,-0.00013427734375,4.166057122756611e-05,108_208_12_1_20250114_162456_flower_ground.wav,0.02310171387382194,0.0006157102315881569
300.0,-4.57763671875e-05,4.353614960045177e-05,108_208_12_1_20250114_162456_flower_ground.wav,0.023223032020891387,0.0006171710172955476
302.0,4.57763671875e-05,4.535912776362265e-05,108_208_12_1_20250114_162456_flower_ground.wav,0.023340947825477944,0.0006159658318240372
304.0,-0.0001251220703125,4.7087271226314e-05,108_208_12_1_20250114_162456_flower_ground.wav,0.02345272943151199,0.0006123539713743892
306.0,-0.00010986328125,4.868042212348486e-05,108_208_12_1_20250114_162456_flower_ground.wav,0.023555779305428716,0.0006066665031854196
308.0,-0.0001678466796875,5.010153292840965e-05,108_208_12_1_20250114_162456_flower_ground.wav,0.023647701099860897,0.0005992953468204322
310.0,0.000335693359375,5.131868290446446e-05,108_208_12_1_20250114_162456_flower_ground.wav,0.023726430083909376,0.0005906779333946673
312.0,-0.000115966796875,5.230455866302148e-05,108_208_12_1_20250114_162456_flower_ground.wav,0.023790199544038524,0.0005812777364246927
314.0,1.8310546875000003e-05,5.304267221896712e-05,108_208_12_1_20250114_162456_flower_ground.wav,0.0238379429869299,0.0005715611509629034
