time,CoG,filename
30.658421935070063,1343.9443185857199,108_208_25_1_20250114_162844_puppy_ground.wav
32.77413287337415,1307.1775578629988,108_208_25_1_20250114_162844_puppy_ground.wav
34.88984381167823,1233.4271248104035,108_208_25_1_20250114_162844_puppy_ground.wav
37.00555474998232,1127.0605484836915,108_208_25_1_20250114_162844_puppy_ground.wav
39.1212656882864,1053.2334799874423,108_208_25_1_20250114_162844_puppy_ground.wav
41.2369766265905,1027.4732438889193,108_208_25_1_20250114_162844_puppy_ground.wav
43.35268756489457,1047.667645422526,108_208_25_1_20250114_162844_puppy_ground.wav
45.468398503198664,1086.914739905243,108_208_25_1_20250114_162844_puppy_ground.wav
47.58410944150275,1104.2146607190723,108_208_25_1_20250114_162844_puppy_ground.wav
49.69982037980684,1106.9922118269042,108_208_25_1_20250114_162844_puppy_ground.wav
51.81553131811093,1134.1696889159489,108_208_25_1_20250114_162844_puppy_ground.wav
53.931242256415004,1143.8989791457786,108_208_25_1_20250114_162844_puppy_ground.wav
56.0469531947191,1135.5664233908144,108_208_25_1_20250114_162844_puppy_ground.wav
58.16266413302318,1151.5350741590428,108_208_25_1_20250114_162844_puppy_ground.wav
60.27837507132727,1187.6752933730413,108_208_25_1_20250114_162844_puppy_ground.wav
62.39408600963135,1239.3620509400587,108_208_25_1_20250114_162844_puppy_ground.wav
64.50979694793543,1303.336821442961,108_208_25_1_20250114_162844_puppy_ground.wav
66.62550788623953,1382.078029442689,108_208_25_1_20250114_162844_puppy_ground.wav
68.74121882454362,1487.2303708385507,108_208_25_1_20250114_162844_puppy_ground.wav
70.8569297628477,1640.1792135301102,108_208_25_1_20250114_162844_puppy_ground.wav
72.97264070115178,1824.8208423791202,108_208_25_1_20250114_162844_puppy_ground.wav
75.08835163945588,2015.0879210141206,108_208_25_1_20250114_162844_puppy_ground.wav
77.20406257775996,2168.1868268280655,108_208_25_1_20250114_162844_puppy_ground.wav
79.31977351606403,2259.521659133714,108_208_25_1_20250114_162844_puppy_ground.wav
81.43548445436812,2264.833302970821,108_208_25_1_20250114_162844_puppy_ground.wav
83.55119539267223,2249.353781190672,108_208_25_1_20250114_162844_puppy_ground.wav
85.6669063309763,2256.3531051404093,108_208_25_1_20250114_162844_puppy_ground.wav
87.78261726928038,2283.752909120765,108_208_25_1_20250114_162844_puppy_ground.wav
89.89832820758448,2338.968919066136,108_208_25_1_20250114_162844_puppy_ground.wav
92.01403914588856,2373.800614829446,108_208_25_1_20250114_162844_puppy_ground.wav
94.12975008419264,2374.7485186975387,108_208_25_1_20250114_162844_puppy_ground.wav
96.24546102249673,2349.5295575280265,108_208_25_1_20250114_162844_puppy_ground.wav
98.36117196080083,2298.002609739238,108_208_25_1_20250114_162844_puppy_ground.wav
100.4768828991049,2200.418146516114,108_208_25_1_20250114_162844_puppy_ground.wav
102.59259383740898,2108.457218233516,108_208_25_1_20250114_162844_puppy_ground.wav
