pair_id,participant_1_id,participant_2_id,session_date,trial_end_time,trial_number,clue_giver_id,clue_giver_condition,target_word,taboo_1,taboo_2,taboo_3,taboo_4,taboo_5,audio_file_name,video_clue_giver_cam01,video_clue_giver_cam02,video_guesser_cam01,video_guesser_cam02,textgrid_file_name
103_203,103,203,13/01/2025,13/01/2025 15:33,30,203,ground,exam,test,bar,fail,pass,mark,103_203_30_1_20250113_153310_exam_ground.wav,103_203_30_1_20250113_153310_exam_ground_clueGiver_cam01.mp4,103_203_30_1_20250113_153310_exam_ground_clueGiver_cam02.mp4,103_203_30_1_20250113_153310_exam_ground_guesser_cam01.mp4,103_203_30_1_20250113_153310_exam_ground_guesser_cam02.mp4,103_203_30_20250113_153310_exam_ground_p2.TextGrid
103_203,103,203,13/01/2025,13/01/2025 15:33,31,203,ground,flower,plant,pretty,rose,petals,bloom,103_203_31_1_20250113_153333_flower_ground.wav,103_203_31_1_20250113_153333_flower_ground_clueGiver_cam01.mp4,103_203_31_1_20250113_153333_flower_ground_clueGiver_cam02.mp4,103_203_31_1_20250113_153333_flower_ground_guesser_cam01.mp4,103_203_31_1_20250113_153333_flower_ground_guesser_cam02.mp4,103_203_31_20250113_153333_flower_ground_p2.TextGrid
103_203,103,203,13/01/2025,13/01/2025 15:33,32,203,ground,coffee,latte,drink,morning,beans,caffeine,103_203_32_1_20250113_153341_coffee_ground.wav,103_203_32_1_20250113_153341_coffee_ground_clueGiver_cam01.mp4,103_203_32_1_20250113_153341_coffee_ground_clueGiver_cam02.mp4,103_203_32_1_20250113_153341_coffee_ground_guesser_cam01.mp4,103_203_32_1_20250113_153341_coffee_ground_guesser_cam02.mp4,103_203_32_20250113_153341_coffee_ground_p2.TextGrid
103_203,103,203,13/01/2025,13/01/2025 15:34,34,103,ground,picture,photo,image,photograph,frame,camera,103_203_34_1_20250113_153427_picture_ground.wav,103_203_34_1_20250113_153427_picture_ground_clueGiver_cam01.mp4,103_203_34_1_20250113_153427_picture_ground_clueGiver_cam02.mp4,103_203_34_1_20250113_153427_picture_ground_guesser_cam01.mp4,103_203_34_1_20250113_153427_picture_ground_guesser_cam02.mp4,103_203_34_20250113_153427_picture_ground_p1.TextGrid
103_203,103,203,13/01/2025,13/01/2025 15:34,35,103,ground,yellow,color,sun,banana,primary,daffodils,103_203_35_1_20250113_153443_yellow_ground.wav,103_203_35_1_20250113_153443_yellow_ground_clueGiver_cam01.mp4,103_203_35_1_20250113_153443_yellow_ground_clueGiver_cam02.mp4,103_203_35_1_20250113_153443_yellow_ground_guesser_cam01.mp4,103_203_35_1_20250113_153443_yellow_ground_guesser_cam02.mp4,103_203_35_20250113_153443_yellow_ground_p1.TextGrid
103_203,103,203,13/01/2025,13/01/2025 15:34,36,103,ground,flannel,fabric,shirt,material,soft,cotton,103_203_36_1_20250113_153454_flannel_ground.wav,103_203_36_1_20250113_153454_flannel_ground_clueGiver_cam01.mp4,103_203_36_1_20250113_153454_flannel_ground_clueGiver_cam02.mp4,103_203_36_1_20250113_153454_flannel_ground_guesser_cam01.mp4,103_203_36_1_20250113_153454_flannel_ground_guesser_cam02.mp4,103_203_36_20250113_153454_flannel_ground_p1.TextGrid
103_203,103,203,13/01/2025,13/01/2025 15:35,37,103,ground,movie,film,cinema,entertainment,moving,actors,103_203_37_1_20250113_153517_movie_ground.wav,103_203_37_1_20250113_153517_movie_ground_clueGiver_cam01.mp4,103_203_37_1_20250113_153517_movie_ground_clueGiver_cam02.mp4,103_203_37_1_20250113_153517_movie_ground_guesser_cam01.mp4,103_203_37_1_20250113_153517_movie_ground_guesser_cam02.mp4,103_203_37_20250113_153517_movie_ground_p1.TextGrid
103_203,103,203,13/01/2025,13/01/2025 15:35,38,103,ground,puppy,dog,baby,small,young,four,103_203_38_1_20250113_153528_puppy_ground.wav,103_203_38_1_20250113_153528_puppy_ground_clueGiver_cam01.mp4,103_203_38_1_20250113_153528_puppy_ground_clueGiver_cam02.mp4,103_203_38_1_20250113_153528_puppy_ground_guesser_cam01.mp4,103_203_38_1_20250113_153528_puppy_ground_guesser_cam02.mp4,103_203_38_20250113_153528_puppy_ground_p1.TextGrid
103_203,103,203,13/01/2025,13/01/2025 15:35,39,103,ground,muscle,body,strength,tissue,strong,flesh,103_203_39_1_20250113_153540_muscle_ground.wav,103_203_39_1_20250113_153540_muscle_ground_clueGiver_cam01.mp4,103_203_39_1_20250113_153540_muscle_ground_clueGiver_cam02.mp4,103_203_39_1_20250113_153540_muscle_ground_guesser_cam01.mp4,103_203_39_1_20250113_153540_muscle_ground_guesser_cam02.mp4,103_203_39_20250113_153540_muscle_ground_p1.TextGrid
103_203,103,203,13/01/2025,13/01/2025 15:35,40,103,ground,beauty,pretty,beast,looks,prettiness,good,103_203_40_1_20250113_153555_beauty_ground.wav,103_203_40_1_20250113_153555_beauty_ground_clueGiver_cam01.mp4,103_203_40_1_20250113_153555_beauty_ground_clueGiver_cam02.mp4,103_203_40_1_20250113_153555_beauty_ground_guesser_cam01.mp4,103_203_40_1_20250113_153555_beauty_ground_guesser_cam02.mp4,103_203_40_20250113_153555_beauty_ground_p1.TextGrid
