start_time,end_time,label,labelid,duration,model
0.8,1.6333333333333333,Gesture,1,0.8333333333333333,CNN
2.8666666666666667,3.466666666666667,Gesture,2,0.6000000000000001,CNN
21.766666666666666,22.3,Gesture,3,0.533333333333335,CNN
30.3,35.5,Gesture,4,5.199999999999999,CNN
38.53333333333333,40.233333333333334,Gesture,6,1.7000000000000028,CNN
46.333333333333336,47.1,Gesture,7,0.7666666666666657,CNN
48.266666666666666,48.9,Gesture,8,0.6333333333333329,CNN
49.56666666666667,53.06666666666667,Gesture,9,3.5,CNN
54.43333333333333,55.9,Gesture,10,1.4666666666666686,CNN
57.166666666666664,57.333333333333336,Gesture,11,0.1666666666666714,CNN
60.166666666666664,62.2,Gesture,12,2.0333333333333385,CNN
66.16666666666667,69.93333333333334,Gesture,13,3.7666666666666657,CNN
1.0666666666666667,1.1666666666666667,Gesture,1,0.10000000000000009,LightGBM
18.0,18.2,Gesture,2,0.1999999999999993,LightGBM
21.266666666666666,22.3,Gesture,3,1.033333333333335,LightGBM
26.3,26.466666666666665,Gesture,4,0.1666666666666643,LightGBM
29.7,34.86666666666667,Gesture,5,5.166666666666668,LightGBM
38.0,39.7,Gesture,9,1.7000000000000028,LightGBM
45.8,46.3,Gesture,11,0.5,LightGBM
49.733333333333334,52.53333333333333,Gesture,12,2.799999999999997,LightGBM
53.86666666666667,55.1,Gesture,14,1.2333333333333343,LightGBM
57.9,58.4,Gesture,17,0.5,LightGBM
58.96666666666667,59.06666666666667,Gesture,18,0.10000000000000142,LightGBM
59.93333333333333,61.7,Gesture,19,1.7666666666666728,LightGBM
65.93333333333334,69.93333333333334,Gesture,20,4.0,LightGBM
