start_time,end_time,label,labelid,duration,model
5.233333333333333,9.366666666666667,Gesture,1,4.133333333333334,CNN
10.466666666666667,16.966666666666665,Gesture,4,6.499999999999998,CNN
20.7,24.466666666666665,Gesture,7,3.7666666666666657,CNN
25.333333333333332,25.466666666666665,Gesture,8,0.13333333333333286,CNN
26.133333333333333,30.533333333333335,Gesture,9,4.400000000000002,CNN
33.0,35.0,Gesture,10,2.0,CNN
41.93333333333333,45.166666666666664,Gesture,13,3.2333333333333343,CNN
46.53333333333333,46.7,Gesture,14,0.1666666666666714,CNN
47.36666666666667,50.1,Gesture,15,2.7333333333333343,CNN
4.033333333333333,9.466666666666667,Gesture,1,5.433333333333334,LightGBM
10.333333333333334,11.633333333333333,Gesture,4,1.299999999999999,LightGBM
12.566666666666666,13.933333333333334,Gesture,5,1.3666666666666671,LightGBM
14.866666666666667,17.466666666666665,Gesture,6,2.599999999999998,LightGBM
19.8,25.5,Gesture,10,5.699999999999999,LightGBM
26.133333333333333,27.666666666666668,Gesture,15,1.533333333333335,LightGBM
28.966666666666665,30.466666666666665,Gesture,16,1.5,LightGBM
32.9,33.13333333333333,Gesture,17,0.23333333333333428,LightGBM
33.833333333333336,34.56666666666667,Gesture,18,0.7333333333333343,LightGBM
42.13333333333333,42.56666666666667,Gesture,19,0.4333333333333371,LightGBM
43.36666666666667,49.96666666666667,Gesture,20,6.600000000000001,LightGBM
